"NOTE that some of these manifestos are not just pdfs, but also include the news article/some text that gives it context; it would be helpful to exclude this in our moral analysis  ",Name of attack(s),Title,Author,Content,"Left Wing News (so far 9 CNN, 5 NY Times, 5 NBC) ","Right Wing News (LOOK FOR MORE Breitbart, IJR, ZEROHEDGE, NYPOST SOURCES; so far 14 Fox News, 4 Breitbart, 4 NY Post)",Length,Race,Gender,Location and date of attack,Terrorist ideology
"Recommended US right wing news sources: Fox News, Breitbart, Independent Journal Review, Zerohedge, NY Post",,Unabomber Manifesto: Industrial Society and Its Future,Ted Kaczynski,Link,CNN article,Fox News,"35,000 words",White,Male,Across the US,Anti-tech radicalism
"Recommended US left wing news sources: CNN, Huffington Post, MSNBC/NBC, The Atlantic, Vox, NY times and Washington post good but usually their articles have paywalls",,Unnamed,Seung-Hui Cho,Link,NY Times,Fox News,4 pages,Asian,Male,Virginia Tech (2007),
,,Unnamed,Christopher Dorner,Link,CNN,Fox News,11 pages,African American,Male,"Orange County, Los Angeles County, and Riverside County (2013)",
,,Suicide Note,Marc Lépine,Link,CBC || Global News,Toronto Sun,2 pages,White,Male,Montreal (1989),"Antifeminism, misogyny"
,,Statement,Gang Lu,Link,NY Times,Fox News,3 pages,Asian,Male,Iowa (1991),
,,Unamed,T.J. Lane,Link,CNN,Fox News,1 page,White,Male,Ohio (2012),
,,Unamed,Christopher Harper-Mercer,Link,NY Times,Breitbart,"
",Mixed Race,Male,Oregon (2015),
,,Unamed,"Robert Butler, Jr.",Link,NYDailyNews,Fox News,,Mixed Race,Male,Nebraska (2011),
,,Unamed,Wellington de Oliveira,Link,CNN,Fox News, ,,Male,Brazil (2011),
,,2083 - A European Declaration of Independence,Anders Breivik,Link,Dagbladet,Aftenposten,,White,Male,Norway (2011),
,,The Inconvenient Truth ,Patrick Crusius,Link,CNN,Fox News, ,White,Male,United States (2019),White supremacism
,,Suicide Note,Jiverly Wong,Link,CNN,NY Post,,Asian,Male,New York (2009),
,,Unnamed,Payton Gendron,Link,NBC,Fox News, ,White,Male,New York (2022),
,,Unnamed (suicide note),Joseph Stack III,Link,NY Times,Fox News, ,White,Male,Texas (2010),Anti-government extremism 
,,Unnamed,Dylann Roof ,Link,NY Times,Fox News, ,White,Male,South Carolina (2015),"White supremacism, neo-Nazism"
,,Unnamed,John Timothy Earnest,Link,CNN,Fox News,6 pages,White,Male,California (2019),
,,My Twisted World,Elliot Rodger,Link,NBC,Fox News, ,White,Male,California (2014),Misogyny/incel extremism
,,"Unnamed (video, transcript provided)",Michael Bibeau,Link,CBC,Toronto Sun,,White,Male,Canada (2014),Islamic extremism
,,Unnamed,Jim David Adkisson,"Link (see ""Full Text"" part)",CNN,Breitbart,,White,Male,Tennessee (2008),Anti-liberal extremism
,,Unnamed,Lucas Helder,Link,NBC,NY Post,,White,Male,United States (2002),
,,The Purpose of Life,Nidal Hasan,Link,NBC,The New York Post,,White,Male,Texas (2009),
,,KILL THE BEST GENTILES!,James Von Brunn,Link,NBC News,The New York Post,189 pages,White,Male,United States (2009),Antisemetism
,,Unnamed,John Bedell,Link,NBC News,Breitbart,,Whire,Male,Virginia (2010),
,,Unnamed, James J. Lee,Link,ABC News,Fox News,,Asian,Male,Maryland (2010),
,2002 Tampa Cessna 172 crash,Unnamed (suicide note),Charles Bishop,Link (news article that contains note contents), Washington Post,The New York Post,1 paragraph,White,Male,United States (2002),Pro-terrorism? Anti-US? (this guy confuses me)
,"Plano, Texas pipeline bombing","Yellow on the Outside, Shame on the Inside: Asian Culture Revealed",Anson Chi,Link ,CBS,Washington Times,139 pages,Asian,Male,Texas (2012),
,,The Great Replacement,Brenton Tarrant,Link,Sydney Morning Herald,New Zealand Herald,74 pages,White,Male,New Zealand (2019),Neo-nazi
,,(Difficult format) ,Tobias Rathjen,Link,SZ News,Bild Zeitung,24 pages,White,Male,Germany (2020),far-right
,,Unnamed,Mohammed Reza,Link,NBC News,Fox News,3 pages,Asian (Iranian),Male,"North Carolina, US (2006)",
Not the manifesto,,Techno-Barbarism,Stephen Balliet,Link_2    Link_1   Link_3: https://archive.org/stream/stephen-balliet-manifesto/Stephen%20Balliet/マニフェスト_djvu.txt  ,Spiegel,Die Welt,16 pages,White,Male,Germany (2019),
Alternative: https://www.nytimes.com/1995/12/31/us/mcveigh-s-mind-special-report-oklahoma-bombing-suspect-unraveling-frayed-life.html,,Why I bombed Oklahoma,Timothy McVeigh,Link,Washington Post,The New York Post,1-2 pages,White,Male,"Oklahoma, US (1995)",
,,A Call To Arms,Juraj Krajčík,Link,Pravda,HN Online,65 pages,White,Male,Slovakia (2022),"Anti-semetism, homophobia, white nationalism"
,,,Faisal Mohammad,"suicide note, handwritten version exists but transcript not found",,,,,,,
,,,Keep Finding More,,,,,,,,
,,,Guys,,,,,,,,
,,,To,,,,,,,,
30-40,,,Look,,,,,,,,
Diversify news media so variance of public opinion,,,Into,,,,,,,,
"allyoucanread.com -> Curated website of all major news sources present in every country (depending on the country of origin, can choose which country is the one you are interested in finding a news article from)",,,,,,,,,,,
"allsides.org -> Classifies right-left wing, control variable can be to collect even amount of right and left wing news sources? (so not political stance, but wide range)",,,,,,,,,,,